,NVDA,,AMZN,,AMD,,CRM
Date,Close,Date,Close,Date,Close,Date,Close
7/15/2015 16:00:00,19.75,7/15/2015 16:00:00,461.19,7/15/2015 16:00:00,1.96,7/15/2015 16:00:00,71.36
7/16/2015 16:00:00,20.19,7/16/2015 16:00:00,475.48,7/16/2015 16:00:00,1.87,7/16/2015 16:00:00,72.42
7/17/2015 16:00:00,20.07,7/17/2015 16:00:00,483.01,7/17/2015 16:00:00,1.79,7/17/2015 16:00:00,72.81
7/20/2015 16:00:00,19.7,7/20/2015 16:00:00,488.1,7/20/2015 16:00:00,1.8,7/20/2015 16:00:00,72.77
7/21/2015 16:00:00,19.79,7/21/2015 16:00:00,488,7/21/2015 16:00:00,1.8,7/21/2015 16:00:00,73.83
7/22/2015 16:00:00,19.41,7/22/2015 16:00:00,488.27,7/22/2015 16:00:00,1.79,7/22/2015 16:00:00,73.87
7/23/2015 16:00:00,19.65,7/23/2015 16:00:00,482.18,7/23/2015 16:00:00,1.76,7/23/2015 16:00:00,72.21
7/24/2015 16:00:00,19.42,7/24/2015 16:00:00,529.42,7/24/2015 16:00:00,1.67,7/24/2015 16:00:00,73.92
7/27/2015 16:00:00,19.31,7/27/2015 16:00:00,531.41,7/27/2015 16:00:00,1.62,7/27/2015 16:00:00,72.46
7/28/2015 16:00:00,19.73,7/28/2015 16:00:00,526.03,7/28/2015 16:00:00,1.77,7/28/2015 16:00:00,73.79
7/29/2015 16:00:00,19.97,7/29/2015 16:00:00,529,7/29/2015 16:00:00,1.96,7/29/2015 16:00:00,73.88
7/30/2015 16:00:00,20.02,7/30/2015 16:00:00,536.76,7/30/2015 16:00:00,1.93,7/30/2015 16:00:00,73.36
7/31/2015 16:00:00,19.95,7/31/2015 16:00:00,536.15,7/31/2015 16:00:00,1.93,7/31/2015 16:00:00,73.3
8/3/2015 16:00:00,20.29,8/3/2015 16:00:00,535.03,8/3/2015 16:00:00,2.2,8/3/2015 16:00:00,72.44
8/4/2015 16:00:00,20.37,8/4/2015 16:00:00,531.9,8/4/2015 16:00:00,2.13,8/4/2015 16:00:00,71.89
8/5/2015 16:00:00,20.58,8/5/2015 16:00:00,537.01,8/5/2015 16:00:00,2.16,8/5/2015 16:00:00,72.53
8/6/2015 16:00:00,20.45,8/6/2015 16:00:00,529.46,8/6/2015 16:00:00,2.11,8/6/2015 16:00:00,70.43
8/7/2015 16:00:00,22.98,8/7/2015 16:00:00,522.62,8/7/2015 16:00:00,2.09,8/7/2015 16:00:00,70.41
